Enumer,Device Sign Uint24,Device,SIG BYTE 0,SIG BYTE 1,SIG BYTE 2,,
1,1E9007,ATTINY_13A,1E,90,07," 1E, 90, 07, FF, 16, FF, FF, FF, FF, FF",
2,1E9007,ATTINY_13,1E,90,07,"1E, 90, 07, FF, 16, FF, FF, FF, FF, FF",
3,1E9412,ATTINY_1634,1E,94,12,"""tn1634""    , 1E, 94, 12, 0F, 0B, 07, FF, FF, FF, FF","""tn20""      , 1E, 91, 0F, 00, 04, FF, FF, FF, FF, FF"
4,1E9487,ATTINY_167,1E,94,87,"""tn167""     , 1E, 94, 87, 00, 03, FF, FF, FF, FF, FF",
5,1E910A,ATTINY_2313A,1E,91,0A,"""tn2313A""   , 1E, 91, 0A, 19, 16, FF, 10, FF, FF, FF",
6,1E910A,ATTINY_2313,1E,91,0A,"""tn2313""    , 1E, 91, 0A, 19, 16, FF, 10, FF, FF, FF",
7,1E910B,ATTINY_24A,1E,91,0B,"""tn24A""     , 1E, 91, 0B, 19, 16, FF, FF, FF, FF, FF",
8,1E910B,ATTINY_24,1E,91,0B,"""tn24""      , 1E, 91, 0B, 19, 16, FF, FF, FF, FF, FF",
9,1E910B,ATTINY_25,1E,91,0B,"""tn25""      , 1E, 91, 08, FF, 16, FF, FF, FF, FF, FF","""tn26""      , 1E, 91, 09, 19, 16, FF, FF, FF, FF, FF"
10,1E910C,ATTINY_261A,1E,91,0C,"""tn261A""    , 1E, 91, 0C, 19, 16, FF, FF, FF, FF, FF","""tn28""      , 1E, 91, 07, 19, 16, FF, 10, FF, FF, FF"
11,1E910C,ATTINY_261,1E,91,0C,"""tn261""     , 1E, 91, 0C, 19, 16, FF, FF, FF, FF, FF","""tn40""      , 1E, 92, 0E, 00, 04, 1B, FF, FF, FF, FF"
12,1E920D,ATTINY_4313,1E,92,0D,"""tn4313""    , 1E, 92, 0D, 19, 16, FF, 10, FF, FF, FF","""tn4""       , 1E, 8F, 0A, FF, 00, FF, FF, FF, FF, FF"
13,1E9207,ATTINY_44A,1E,92,07,"""tn44A""     , 1E, 92, 07, 19, 16, FF, FF, FF, FF, FF","""tn5""       , 1E, 8F, 09, FF, 00, FF, FF, FF, FF, FF"
14,1E9207,ATTINY_44,1E,92,07,"""tn44""      , 1E, 92, 07, 19, 16, FF, FF, FF, FF, FF",
15,1E9215,ATTINY_441,1E,92,15,"""tn441""     , 1E, 92, 15, 19, 16, FF, FF, FF, FF, FF",
16,1E9206,ATTINY_45,1E,92,06,"""tn45""      , 1E, 92, 06, FF, 16, FF, FF, FF, FF, FF",
17,1E9208,ATTINY_461A,1E,92,08,"""tn461A""    , 1E, 92, 08, 19, 16, FF, FF, FF, FF, FF",
18,1E9208,ATTINY_461,1E,92,08,"""tn461""     , 1E, 92, 08, 19, 16, FF, FF, FF, FF, FF","""tn43U""     , 1E, 92, 0C, 19, 16, FF, FF, FF, FF, FF"
19,1E9209,ATTINY_48,1E,92,09,"""tn48""      , 1E, 92, 09, 0C, 03, 06, 09, FF, FF, FF","""tn828""     , 1E, 93, 14, 00, 04, 08, 0C, FF, FF, FF"
20,1E930C,ATTINY_84A,1E,93,0C,"""tn84A""     1E, 93, 0C, 19, 16, FF, FF, FF, FF, FF",
21,1E930C,ATTINY_84,1E,93,0C,"""tn84""      1E, 93, 0C, 19, 16, FF, FF, FF, FF, FF","tn828     1E, 93, 14, 00, 04, 08, 0C, FF, FF, FF"
22,1E9315,ATTINY_841,1E,93,15,"""tn841""     1E, 93, 15, 19, 16, FF, FF, FF, FF, FF",
23,1E930B,ATTINY_85,1E,93,0B,"""tn85""      1E, 93, 0B, FF, 16, FF, FF, FF, FF, FF",
24,1E930D,ATTINY_861A,1E,93,0D,"""tn861A""    1E, 93, 0D, 19, 16, FF, FF, FF, FF, FF",
25,1E930D,ATTINY_861,1E,93,0D,"""tn861""     1E, 93, 0D, 19, 16, FF, FF, FF, FF, FF",
26,1E9387,ATTINY_87,1E,93,87,"""tn87""      1E, 93, 87, 00, 03, FF, FF, FF, FF, FF",
27,1E9311,ATTINY_88,1E,93,11,"""tn88""      1E, 93, 11, 0C, 03, 06, 09, FF, FF, FF",
28,1E9403,ATMEGA_162,1E,94,03,"data ""m162""      , 1E, 94, 04, 19, 16, 13, 10, 05, FF, FF",
29,1E940F,ATMEGA_164A,1E,94,0F,"data ""m164A""     , 1E, 94, 0F, 00, 03, 06, 09, FF, FF, FF","""tn9""       1E, 90, 08, FF, 00, FF, FF, FF, FF, FF"
30,1E940A,ATMEGA_164PA,1E,94,0A,"data ""m164PA""    , 1E, 94, 0A, 00, 03, 06, 09, FF, FF, FF","data ""1200""      , 1E, 90, 01, FF, 16, FF, 10, FF, FF, FF"
31,1E940A,ATMEGA_164P,1E,94,0A,"data ""m164P""     , 1E, 94, 0A, 00, 03, 06, 09, FF, FF, FF","data ""2313""      , 1E, 91, 01, FF, 16, FF, 10, FF, FF, FF"
32,1E9410,ATMEGA_165A,1E,94,10,"data ""m165A""     , 1E, 94, 10, 00, 03, 06, 09, 0C, 0F, 12","data ""2323""      , 1E, 91, 02, FF, 16, FF, FF, FF, FF, FF"
33,1E9407,ATMEGA_165PA,1E,94,07,"data ""m165PA""    , 1E, 94, 07, 00, 03, 06, 09, 0C, 0F, 12","data ""2343""      , 1E, 91, 03, FF, 16, FF, FF, FF, FF, FF"
34,1E9407,ATMEGA_165P,1E,94,07,"data ""m165P""     , 1E, 94, 07, 00, 03, 06, 09, 0C, 0F, 12","data ""4414""      , 1E, 92, 01, 19, 16, 13, 10, FF, FF, FF"
35,1E9406,ATMEGA_168A,1E,94,06,"data ""m168A""     , 1E, 94, 06, FF, 03, 06, 09, FF, FF, FF","data ""4433""      , 1E, 92, 03, FF, 16, 13, 10, FF, FF, FF"
36,1E9406,ATMEGA_168,1E,94,06,"data ""m168""      , 1E, 94, 06, FF, 03, 06, 09, FF, FF, FF","data ""4434""      , 1E, 93, 03, 19, 16, 13, 10, FF, FF, FF"
37,1E940B,ATMEGA_168PA,1E,94,0B,"data ""m168PA""    , 1E, 94, 0B, FF, 03, 06, 09, FF, FF, FF","data ""8515""      , 1E, 93, 01, 19, 16, 13, 10, FF, FF, FF"
38,1E940B,ATMEGA_168P,1E,94,0B,"data ""m168P""     , 1E, 94, 0B, FF, 03, 06, 09, FF, FF, FF","data ""8535""      , 1E, 93, 03, 19, 16, 13, 10, FF, FF, FF"
39,1E9411,ATMEGA_169A,1E,94,11,"data ""m169A""     , 1E, 94, 11, 00, 03, 06, 09, 0C, 0F, 12","data ""m1280""     , 1E, 97, 03, 00, 03, 06, 09, 0C, 0F, 12"
40,1E9405,ATMEGA_169PA,1E,94,05,"data ""m169PA""    , 1E, 94, 05, 00, 03, 06, 09, 0C, 0F, 12","data ""m1281""     , 1E, 97, 04, 00, 03, 06, 09, 0C, 0F, 12"
41,1E9405,ATMEGA_169P,1E,94,05,"data ""m169P""     , 1E, 94, 05, 00, 03, 06, 09, 0C, 0F, 12","data ""m1284""     , 1E, 97, 06, 00, 03, 06, 09, FF, FF, FF"
42,1E9403,ATMEGA_16A,1E,94,03,"data ""m16A""      , 1E, 94, 03, 19, 16, 13, 10, FF, FF, FF","data ""m1284P""    , 1E, 97, 05, 00, 03, 06, 09, FF, FF, FF"
43,1E9403,ATMEGA_16,1E,94,03,"data ""m16""       , 1E, 94, 03, 19, 16, 13, 10, FF, FF, FF","data ""m1284RFR2"" , 1E, A7, 03, 00, 03, 06, 09, 0C, 0F, 12"
44,1E940C,ATMEGA_16HVA,1E,94,0C,"data ""m16HVA""    , 1E, 94, 0C, 00, 03, 06, FF, FF, FF, FF","data ""m128A""     , 1E, 97, 02, 19, 16, 13, 10, 01, 00, FF"
45,1E940D,ATMEGA_16HVB,1E,94,0D,"data ""m16HVB""    , 1E, 94, 0D, 00, 03, 06, FF, FF, FF, FF","data ""m128""      , 1E, 97, 02, 19, 16, 13, 10, 01, 00, FF"
46,1E9484,ATMEGA_16ATMEGA_1,1E,94,84,"data ""m16M1""     , 1E, 94, 84, FF, 03, 06, 09, 0C, FF, FF","data ""m128RFA1""  , 1E, A7, 01, 00, 03, 06, 09, 0C, 0F, 12"
47,1E9489,ATMEGA_16U2,1E,94,89,"data ""m16U2""     , 1E, 94, 89, FF, 03, 06, 09, FF, FF, FF","data ""m128RFR2""  , 1E, A7, 02, 00, 03, 06, 09, 0C, 0F, 12"
48,1E9488,ATMEGA_16U4,1E,94,88,"data ""m16U4""     , 1E, 94, 88, FF, 03, 06, 09, 0C, 0F, FF","data ""m2560""     , 1E, 98, 01, 00, 03, 06, 09, 0C, 0F, 12"
49,1E9515,ATMEGA_324A,1E,95,15,"data ""m324A""     , 1E, 95, 15, 00, 03, 06, 09, FF, FF, FF","data ""m2561""     , 1E, 98, 02, 00, 03, 06, 09, 0C, 0F, 12"
50,1E9511,ATMEGA_324PA,1E,95,11,"data ""m324PA""    , 1E, 95, 11, 00, 03, 06, 09, FF, FF, FF","data ""m2564RFR2"" , 1E, A8, 03, 00, 03, 06, 09, 0C, 0F, 12"
51,1E9508,ATMEGA_324P,1E,95,08,"data ""m324P""     , 1E, 95, 08, 00, 03, 06, 09, FF, FF, FF","data ""m256RFR2""  , 1E, A8, 02, 00, 03, 06, 09, 0C, 0F, 12"
52,1E950E,ATMEGA_3250A,1E,95,0E,"data ""m3250A""    , 1E, 95, 0E, 00, 03, 06, 09, 0C, 0F, 12","data ""m32HVBrevB"", 1E, 95, 10, 00, 03, 06, FF, FF, FF, FF"
53,1E9506,ATMEGA_3250,1E,95,06,"data ""m3250""     , 1E, 95, 06, 00, 03, 06, 09, 0C, 0F, 12",
54,1E950E,ATMEGA_3250PA,1E,95,0E,"data ""m3250PA""   , 1E, 95, 0E, 00, 03, 06, 09, 0C, 0F, 12",
55,1E950E,ATMEGA_3250P,1E,95,0E,"data ""m3250P""    , 1E, 95, 0E, 00, 03, 06, 09, 0C, 0F, 12",
56,1E9505,ATMEGA_325A,1E,95,05,"data ""m325A""     , 1E, 95, 05, 00, 03, 06, 09, 0C, 0F, 12",
57,1E9505,ATMEGA_325,1E,95,05,"data ""m325""      , 1E, 95, 05, 00, 03, 06, 09, 0C, 0F, 12",
58,1E9505,ATMEGA_325PA,1E,95,05,"data ""m325PA""    , 1E, 95, 05, 00, 03, 06, 09, 0C, 0F, 12",
59,1E950D,ATMEGA_325P,1E,95,0D,"data ""m325P""     , 1E, 95, 0D, 00, 03, 06, 09, 0C, 0F, 12",
60,1E9514,ATMEGA_328,1E,95,14,"data ""m328""      , 1E, 95, 14, FF, 03, 06, 09, FF, FF, FF",
61,1E950F,ATMEGA_328P,1E,95,0F,"data ""m328P""     , 1E, 95, 0F, FF, 03, 06, 09, FF, FF, FF",
62,1E950C,ATMEGA_3290A,1E,95,0C,"data ""m3290A""    , 1E, 95, 0C, 00, 03, 06, 09, 0C, 0F, 12",
63,1E9504,ATMEGA_3290,1E,95,04,"data ""m3290""     , 1E, 95, 04, 00, 03, 06, 09, 0C, 0F, 12",
64,1E950C,ATMEGA_3290PA,1E,95,0C,"data ""m3290PA""   , 1E, 95, 0C, 00, 03, 06, 09, 0C, 0F, 12",
65,1E950C,ATMEGA_3290P,1E,95,0C,"data ""m3290P""    , 1E, 95, 0C, 00, 03, 06, 09, 0C, 0F, 12",
66,1E9503,ATMEGA_329A,1E,95,03,"data ""m329A""     , 1E, 95, 03, 00, 03, 06, 09, 0C, 0F, 12",
67,1E9503,ATMEGA_329,1E,95,03,"data ""m329""      , 1E, 95, 03, 00, 03, 06, 09, 0C, 0F, 12",
68,1E950B,ATMEGA_329PA,1E,95,0B,"data ""m329PA""    , 1E, 95, 0B, 00, 03, 06, 09, 0C, 0F, 12",
69,1E950B,ATMEGA_329P,1E,95,0B,"data ""m329P""     , 1E, 95, 0B, 00, 03, 06, 09, 0C, 0F, 12",
70,1E9502,ATMEGA_32A,1E,95,02,"data ""m32A""      , 1E, 95, 02, 19, 16, 13, 10, FF, FF, FF",
71,1E9586,ATMEGA_32C1,1E,95,86,"data ""m32C1""     , 1E, 95, 86, FF, 03, 06, 09, 0C, FF, FF",
72,1E9502,ATMEGA_32,1E,95,02,"data ""m32""       , 1E, 95, 02, 19, 16, 13, 10, FF, FF, FF",
73,1E9510,ATMEGA_32HVB,1E,95,10,"data ""m32HVB""    , 1E, 95, 10, 00, 03, 06, FF, FF, FF, FF",
74,1E9584,ATMEGA_32ATMEGA_1,1E,95,84,"data ""m32M1""     , 1E, 95, 84, FF, 03, 06, 09, 0C, FF, FF",
75,1E958A,ATMEGA_32U2,1E,95,8A,"data ""m32U2""     , 1E, 95, 8A, FF, 03, 06, 09, FF, FF, FF",
76,1E9587,ATMEGA_32U4,1E,95,87,"data ""m32U4""     , 1E, 95, 87, FF, 03, 06, 09, 0C, 0F, FF",
77,1E9507,ATMEGA_406,1E,95,07,"data ""m406""      , 1E, 95, 07, 00, 03, FF, 09, FF, FF, FF",
78,1E9205,ATMEGA_48A,1E,92,05,"data ""m48A""      , 1E, 92, 05, FF, 03, 06, 09, FF, FF, FF",
79,1E9205,ATMEGA_48,1E,92,05,"data ""m48""       , 1E, 92, 05, FF, 03, 06, 09, FF, FF, FF",
80,1E920A,ATMEGA_48PA,1E,92,0A,"data ""m48PA""     , 1E, 92, 0A, FF, 03, 06, 09, FF, FF, FF",
81,1E920A,ATMEGA_48P,1E,92,0A,"data ""m48P""      , 1E, 92, 0A, FF, 03, 06, 09, FF, FF, FF",
82,1E9608,ATMEGA_640,1E,96,08,"data ""m640""      , 1E, 96, 08, 00, 03, 06, 09, 0C, 0F, 12",
83,1E9609,ATMEGA_644A,1E,96,09,"data ""m644A""     , 1E, 96, 09, 00, 03, 06, 09, FF, FF, FF",
84,1E9609,ATMEGA_644,1E,96,09,"data ""m644""      , 1E, 96, 09, 00, 03, 06, 09, FF, FF, FF",
85,1E960A,ATMEGA_644PA,1E,96,0A,"data ""m644PA""    , 1E, 96, 0A, 00, 03, 06, 09, FF, FF, FF",
86,1E960A,ATMEGA_644P,1E,96,0A,"data ""m644P""     , 1E, 96, 0A, 00, 03, 06, 09, FF, FF, FF",
87,,ATMEGA_6450A,1E,,,,
88,,ATMEGA_6450,1E,,,,
89,,ATMEGA_6450P,1E,,,,
90,,ATMEGA_645A,1E,,,,
91,,ATMEGA_645,1E,,,,
92,,ATMEGA_645P,1E,,,,
93,,ATMEGA_6490A,1E,,,,
94,,ATMEGA_6490,1E,,,,
95,,ATMEGA_6490P,1E,,,,
96,,ATMEGA_649A,1E,,,,
97,,ATMEGA_649,1E,,,,
98,,ATMEGA_649P,1E,,,,
99,,ATMEGA_64C1,1E,,,,
100,,ATMEGA_64ATMEGA_1,1E,,,,
101,,ATMEGA_64RFR2,1E,,,,
102,,ATMEGA_8515,1E,,,,
103,,ATMEGA_8535,1E,,,,
104,,ATMEGA_88A,1E,,,,
105,,ATMEGA_88,1E,,,,
106,,ATMEGA_88PA,1E,,,,
107,,ATMEGA_88P,1E,,,,
108,,ATMEGA_8A,1E,,,,
109,,ATMEGA_8,1E,,,,
110,,ATMEGA_8HVA,1E,,,,
111,,ATMEGA_8U2,1E,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
